,order_id,time,client_type,wishes,type_of_pay,cashier,status_of_order,total_cost
56,1057,2025-04-15 11:07:00,1,меньше льда,Картой,2,1,90.0
57,1058,2025-04-15 11:11:00,1,доп молоко,Картой,3,1,420.0
58,1059,2025-04-15 11:12:00,3,меньше льда,Картой,1,1,260.0
59,1060,2025-04-15 11:15:00,2,меньше льда,Картой,3,1,90.0
60,1061,2025-04-15 11:17:00,1,обезжиренное молоко,QR,4,1,180.0
61,1062,2025-04-15 11:20:00,1,без сахара,Картой,3,1,480.0
62,1063,2025-04-15 11:23:00,2,обезжиренное молоко,QR,2,1,200.0
63,1064,2025-04-15 11:24:00,2,меньше льда,Картой,3,1,180.0
64,1065,2025-04-15 11:25:00,1,,Картой,4,1,380.0
65,1066,2025-04-15 11:26:00,1,доп молоко,Картой,4,1,400.0
66,1067,2025-04-15 11:27:00,1,обезжиренное молоко,Картой,3,1,410.0
67,1068,2025-04-15 11:30:00,3,меньше льда,QR,3,1,200.0
68,1069,2025-04-15 11:32:00,1,,QR,1,1,150.0
69,1070,2025-04-15 11:35:00,3,,Картой,1,1,370.0
70,1071,2025-04-15 11:39:00,3,обезжиренное молоко,Картой,3,1,190.0
71,1072,2025-04-15 11:42:00,1,,QR,1,1,200.0
72,1073,2025-04-15 11:44:00,1,,Картой,4,1,210.0
73,1074,2025-04-15 11:45:00,1,,QR,2,1,200.0
74,1075,2025-04-15 11:46:00,2,,Наличными,1,1,210.0
75,1076,2025-04-15 11:50:00,1,обезжиренное молоко,QR,2,1,90.0
76,1077,2025-04-15 11:51:00,3,,Картой,1,1,370.0
77,1078,2025-04-15 11:54:00,2,,QR,1,1,550.0
78,1079,2025-04-15 11:58:00,2,,Наличными,3,1,350.0
79,1080,2025-04-15 12:00:00,2,,Картой,3,1,540.0
80,1081,2025-04-15 12:01:00,1,обезжиренное молоко,Наличными,3,1,400.0
81,1082,2025-04-15 12:04:00,1,меньше льда,Картой,3,1,200.0
82,1083,2025-04-15 12:07:00,1,,QR,4,1,150.0
83,1084,2025-04-15 12:09:00,1,,QR,3,1,530.0
84,1085,2025-04-15 12:10:00,1,без сахара,Наличными,4,1,210.0
85,1086,2025-04-15 12:13:00,1,доп молоко,Картой,4,1,300.0
86,1087,2025-04-15 12:14:00,1,меньше льда,Наличными,4,1,220.0
87,1088,2025-04-15 12:17:00,2,меньше льда,QR,2,1,90.0
88,1089,2025-04-15 12:18:00,2,без сахара,Картой,3,1,220.0
89,1090,2025-04-15 12:19:00,1,меньше льда,Картой,4,1,220.0
90,1091,2025-04-15 12:21:00,1,,Картой,3,1,200.0
91,1092,2025-04-15 12:22:00,1,,QR,1,1,220.0
92,1093,2025-04-15 12:25:00,2,без сахара,Наличными,3,1,410.0
93,1094,2025-04-15 12:28:00,1,без сахара,Картой,3,1,160.0
94,1095,2025-04-15 12:32:00,1,без сахара,Картой,2,1,220.0
95,1096,2025-04-15 12:33:00,2,,Картой,4,1,180.0
96,1097,2025-04-15 12:34:00,2,меньше льда,QR,2,1,180.0
97,1098,2025-04-15 12:37:00,2,обезжиренное молоко,Картой,2,1,430.0
98,1099,2025-04-15 12:38:00,1,доп молоко,Картой,2,1,90.0
99,1100,2025-04-15 12:42:00,2,,Картой,1,1,200.0
100,1101,2025-04-15 12:45:00,1,обезжиренное молоко,Картой,3,1,180.0
101,1102,2025-04-15 12:48:00,1,,QR,1,1,270.0
102,1103,2025-04-15 12:52:00,1,,Картой,3,1,150.0
103,1104,2025-04-15 12:53:00,2,меньше льда,QR,3,1,350.0
104,1105,2025-04-15 12:55:00,2,без сахара,Картой,1,1,210.0
105,1106,2025-04-15 12:59:00,1,обезжиренное молоко,Наличными,3,1,220.0
106,1107,2025-04-15 13:01:00,1,обезжиренное молоко,QR,1,1,330.0
107,1108,2025-04-15 13:03:00,1,доп молоко,Картой,1,1,210.0
108,1109,2025-04-15 13:06:00,2,меньше льда,QR,4,1,90.0
109,1110,2025-04-15 13:07:00,3,обезжиренное молоко,Картой,4,1,210.0
110,1111,2025-04-15 13:08:00,2,,Картой,3,1,350.0
111,1112,2025-04-15 13:10:00,1,без сахара,QR,2,1,380.0
112,1113,2025-04-15 13:12:00,2,обезжиренное молоко,QR,4,1,150.0
113,1114,2025-04-15 13:13:00,1,,Картой,4,1,180.0
114,1115,2025-04-15 13:16:00,2,,Наличными,4,1,290.0
115,1116,2025-04-15 13:17:00,1,,QR,4,1,220.0
116,1117,2025-04-15 13:20:00,1,,Картой,3,1,200.0
117,1118,2025-04-15 13:23:00,2,,Картой,1,1,420.0
118,1119,2025-04-15 13:27:00,2,,Картой,4,1,220.0
119,1120,2025-04-15 13:30:00,2,без сахара,QR,1,1,390.0
120,1121,2025-04-15 13:31:00,1,обезжиренное молоко,Картой,3,1,180.0
121,1122,2025-04-15 13:32:00,2,обезжиренное молоко,Картой,2,1,400.0
122,1123,2025-04-15 13:35:00,1,меньше льда,QR,1,1,210.0
123,1124,2025-04-15 13:38:00,1,доп молоко,Картой,1,1,190.0
124,1125,2025-04-15 13:39:00,1,без сахара,Картой,3,1,180.0
125,1126,2025-04-15 13:43:00,2,,Картой,1,1,90.0
126,1127,2025-04-15 13:44:00,1,,Наличными,3,1,150.0
127,1128,2025-04-15 13:46:00,2,,QR,1,1,200.0
128,1129,2025-04-15 13:48:00,2,без сахара,Картой,1,1,150.0
129,1130,2025-04-15 13:51:00,1,,Картой,3,1,250.0
130,1131,2025-04-15 13:55:00,1,,Наличными,1,1,210.0
131,1132,2025-04-15 13:59:00,2,доп молоко,Картой,3,1,220.0
132,1133,2025-04-15 14:03:00,3,без сахара,Картой,2,1,360.0
133,1134,2025-04-15 14:10:00,1,доп молоко,QR,1,1,120.0
134,1135,2025-04-15 14:16:00,3,,Картой,3,1,200.0
135,1136,2025-04-15 14:26:00,1,,Картой,1,1,400.0
136,1137,2025-04-15 14:36:00,1,обезжиренное молоко,Картой,4,1,90.0
137,1138,2025-04-15 14:43:00,2,меньше льда,Картой,4,1,180.0
138,1139,2025-04-15 14:53:00,1,,QR,2,1,180.0
139,1140,2025-04-15 14:58:00,3,,QR,2,1,120.0
140,1141,2025-04-15 15:05:00,2,без сахара,Картой,3,1,670.0
141,1142,2025-04-15 15:10:00,2,без сахара,QR,4,1,210.0
142,1143,2025-04-15 15:19:00,1,обезжиренное молоко,QR,4,1,220.0
143,1144,2025-04-15 15:24:00,3,обезжиренное молоко,Картой,3,1,220.0
144,1145,2025-04-15 15:34:00,1,,Картой,4,1,520.0
145,1146,2025-04-15 15:40:00,2,,QR,4,1,210.0
146,1147,2025-04-15 15:49:00,2,меньше льда,Картой,3,1,330.0
147,1148,2025-04-15 15:55:00,1,без сахара,Картой,4,1,210.0
148,1149,2025-04-15 16:00:00,1,,Картой,1,1,230.0
149,1150,2025-04-15 16:08:00,1,меньше льда,Картой,2,1,420.0
150,1151,2025-04-15 16:17:00,3,доп молоко,Картой,2,1,310.0
151,1152,2025-04-15 16:27:00,1,меньше льда,QR,4,1,370.0
152,1153,2025-04-15 16:34:00,1,меньше льда,Картой,2,1,180.0
153,1154,2025-04-15 16:41:00,1,без сахара,Картой,1,1,300.0
154,1155,2025-04-15 16:47:00,1,,Наличными,3,1,360.0
155,1156,2025-04-15 16:52:00,1,,Картой,4,1,240.0
156,1157,2025-04-15 16:59:00,3,обезжиренное молоко,QR,3,1,290.0
157,1158,2025-04-15 17:04:00,1,,Картой,4,1,200.0
158,1159,2025-04-15 17:12:00,1,обезжиренное молоко,Картой,2,1,200.0
159,1160,2025-04-15 17:17:00,3,,Картой,3,1,90.0
160,1161,2025-04-15 17:24:00,1,,QR,2,1,420.0
161,1162,2025-04-15 17:32:00,1,,Картой,4,1,90.0
162,1163,2025-04-15 17:39:00,1,,Наличными,3,1,480.0
163,1164,2025-04-15 17:44:00,2,доп молоко,Наличными,4,1,200.0
164,1165,2025-04-15 17:49:00,1,без сахара,Картой,4,1,90.0
165,1166,2025-04-15 17:56:00,3,,Наличными,1,1,280.0
166,1167,2025-04-15 18:05:00,1,доп молоко,Картой,2,1,430.0
167,1168,2025-04-15 18:10:00,1,,QR,4,1,120.0
168,1169,2025-04-15 18:16:00,2,доп молоко,QR,2,1,370.0
169,1170,2025-04-15 18:25:00,2,без сахара,Картой,1,1,150.0
170,1171,2025-04-15 18:33:00,1,меньше льда,Картой,2,1,270.0
171,1172,2025-04-15 18:39:00,1,без сахара,Наличными,1,1,200.0
172,1173,2025-04-15 18:49:00,1,,QR,1,1,150.0
173,1174,2025-04-15 18:59:00,1,обезжиренное молоко,Картой,4,1,200.0
174,1175,2025-04-15 19:07:00,2,,Картой,4,1,400.0
175,1176,2025-04-15 19:16:00,2,,Картой,2,1,150.0
176,1177,2025-04-15 19:21:00,1,без сахара,Картой,1,1,200.0
177,1178,2025-04-15 19:28:00,2,,QR,3,1,460.0
178,1179,2025-04-15 19:34:00,2,меньше льда,Наличными,3,1,180.0
179,1180,2025-04-15 19:43:00,1,меньше льда,Картой,2,1,240.0
180,1181,2025-04-15 19:53:00,1,доп молоко,Картой,1,1,180.0
181,1182,2025-04-15 20:02:00,1,без сахара,Картой,1,1,580.0
182,1183,2025-04-15 20:12:00,2,,QR,4,1,190.0
183,1184,2025-04-15 20:19:00,2,,QR,3,1,350.0
184,1185,2025-04-15 20:28:00,2,,QR,2,1,600.0
185,1186,2025-04-15 20:36:00,1,без сахара,Картой,1,1,300.0
186,1187,2025-04-15 20:41:00,1,,Картой,4,1,360.0
187,1188,2025-04-15 20:49:00,2,,QR,3,1,90.0
188,1189,2025-04-15 20:55:00,2,меньше льда,Картой,1,1,210.0
189,1190,2025-04-15 21:02:00,1,меньше льда,Наличными,4,1,150.0
190,1191,2025-04-15 21:09:00,2,,Картой,4,1,390.0
191,1192,2025-04-15 21:17:00,2,меньше льда,Картой,1,1,180.0
192,1193,2025-04-15 21:25:00,2,,Картой,2,1,420.0
193,1194,2025-04-15 21:33:00,1,,QR,1,1,200.0
194,1195,2025-04-15 21:43:00,1,обезжиренное молоко,Картой,2,1,90.0
195,1196,2025-04-15 21:50:00,1,меньше льда,Картой,2,1,250.0
196,1197,2025-04-15 21:58:00,1,без сахара,Картой,1,1,150.0
197,1198,2025-04-15 22:08:00,1,без сахара,QR,2,1,180.0
198,1199,2025-04-15 22:16:00,2,меньше льда,QR,4,1,480.0
199,1200,2025-04-15 22:21:00,1,без сахара,Картой,2,1,320.0
200,1201,2025-04-15 22:30:00,2,,Картой,3,1,210.0
201,1202,2025-04-15 22:38:00,3,без сахара,Картой,3,1,150.0
202,1203,2025-04-15 22:48:00,1,,Картой,1,1,220.0
203,1204,2025-04-15 22:55:00,1,,Картой,3,1,340.0
204,1205,2025-04-15 23:05:00,2,,QR,1,1,380.0
205,1206,2025-04-15 23:15:00,1,,QR,3,1,200.0
206,1207,2025-04-15 23:23:00,3,обезжиренное молоко,Картой,1,1,370.0
207,1208,2025-04-15 23:33:00,1,обезжиренное молоко,Картой,1,1,610.0
208,1209,2025-04-15 23:40:00,1,доп молоко,QR,2,1,300.0
209,1210,2025-04-15 23:50:00,1,,Картой,3,1,280.0
210,1211,2025-04-15 23:59:00,3,доп молоко,Картой,4,1,490.0
211,1212,2025-04-16 00:04:00,1,меньше льда,Картой,3,1,90.0
212,1213,2025-04-16 00:08:00,1,без сахара,Картой,1,1,90.0
213,1214,2025-04-16 00:11:00,3,без сахара,Наличными,2,1,210.0
214,1215,2025-04-16 00:13:00,1,,QR,4,1,200.0
215,1216,2025-04-16 00:15:00,2,,Картой,2,1,180.0
216,1217,2025-04-16 00:20:00,1,,Картой,4,1,510.0
217,1218,2025-04-16 00:24:00,1,без сахара,Наличными,1,1,200.0
218,1219,2025-04-16 00:26:00,1,,Наличными,1,1,150.0
219,1220,2025-04-16 00:31:00,1,,QR,1,1,530.0
220,1221,2025-04-16 00:33:00,1,,QR,3,1,120.0
221,1222,2025-04-16 00:37:00,1,меньше льда,QR,4,1,90.0
222,1223,2025-04-16 00:42:00,1,,Картой,1,1,230.0
223,1224,2025-04-16 00:45:00,2,доп молоко,Наличными,3,1,800.0
224,1225,2025-04-16 00:48:00,2,обезжиренное молоко,Картой,3,1,310.0
225,1226,2025-04-16 00:51:00,3,меньше льда,Картой,3,1,170.0
226,1227,2025-04-16 00:53:00,1,,Наличными,1,1,180.0
227,1228,2025-04-16 00:55:00,2,обезжиренное молоко,QR,4,1,90.0
228,1229,2025-04-16 00:58:00,2,меньше льда,Наличными,4,1,200.0
229,1230,2025-04-16 01:01:00,1,,QR,4,1,220.0
230,1231,2025-04-16 01:03:00,1,,Картой,1,1,190.0
231,1232,2025-04-16 01:05:00,2,без сахара,Наличными,1,1,530.0
232,1233,2025-04-16 01:08:00,1,,QR,1,1,220.0
233,1234,2025-04-16 01:10:00,1,,Картой,2,1,360.0
234,1235,2025-04-16 01:15:00,1,обезжиренное молоко,QR,2,1,210.0
235,1236,2025-04-16 01:17:00,1,,Картой,3,1,90.0
236,1237,2025-04-16 01:20:00,2,доп молоко,QR,2,1,210.0
237,1238,2025-04-16 01:24:00,3,,Картой,1,1,230.0
238,1239,2025-04-16 01:27:00,1,,Картой,3,1,580.0
239,1240,2025-04-16 01:29:00,1,,Картой,1,1,220.0
240,1241,2025-04-16 01:32:00,1,,Картой,1,1,600.0
241,1242,2025-04-16 01:37:00,1,обезжиренное молоко,QR,4,1,220.0
242,1243,2025-04-16 01:40:00,2,без сахара,Картой,1,1,380.0
243,1244,2025-04-16 01:45:00,1,,QR,1,1,90.0
244,1245,2025-04-16 01:49:00,1,меньше льда,Картой,1,1,90.0
245,1246,2025-04-16 01:54:00,1,,Картой,3,1,510.0
246,1247,2025-04-16 01:56:00,1,без сахара,QR,2,1,310.0
247,1248,2025-04-16 02:00:00,2,меньше льда,Картой,3,1,440.0
248,1249,2025-04-16 02:04:00,1,без сахара,Картой,4,1,210.0
249,1250,2025-04-16 02:06:00,1,,QR,3,1,360.0
