,order_detail_id,order_id,menu_item_id,amount,price_at_order
310,311,1228,6,1,90.0
311,312,1229,2,1,200.0
312,313,1230,16,1,220.0
313,314,1231,17,1,190.0
314,315,1232,4,2,220.0
315,316,1232,6,1,90.0
316,317,1233,4,1,220.0
317,318,1234,1,2,180.0
318,319,1235,5,1,210.0
319,320,1236,6,1,90.0
320,321,1237,5,1,210.0
321,322,1238,20,1,230.0
322,323,1239,3,1,150.0
323,324,1239,5,1,210.0
324,325,1239,4,1,220.0
325,326,1240,4,1,220.0
326,327,1241,2,2,200.0
327,328,1241,2,1,200.0
328,329,1242,4,1,220.0
329,330,1243,2,1,200.0
330,331,1243,1,1,180.0
331,332,1244,6,1,90.0
332,333,1245,6,1,90.0
333,334,1246,1,2,180.0
334,335,1246,3,1,150.0
335,336,1247,6,1,90.0
336,337,1247,4,1,220.0
337,338,1248,4,2,220.0
338,339,1249,5,1,210.0
339,340,1250,5,1,210.0
340,341,1250,3,1,150.0
